Marketplace;Brand;Series;PriceNow;PriceOriginal;Guarantee_year;OS;CoresNumber;Processor;ProcessorType;ProcessorModel;ProcessorFrequency_GHz;GpuManufacturer;GpuController;ScreenSize_inch;ScreenFrequency_GHz;SSDSize_GGb;RAM_GGb;RAM_type;HDMI;Material;Battery_hour;Weight_kg
SberMegaMarket;Lenovo;игровой;233490;0;0;Windows;14;Intel;Core i7;12700H;nan;NVIDIA;GeForce RTX 3070 Ti;16;165;1024;32;DDR5;1;алюминий;июн.55;nan
SberMegaMarket;Lenovo;игровой;247890;0;0;Windows;14;Intel;Core i9;12900H;nan;NVIDIA;GeForce RTX 3070 Ti;16;165;1024;32;DDR5;1;алюминий;июн.55;nan
SberMegaMarket;F+;для работы и учебы;36300;0;0;Windows;6;Intel;Core i3;1215U;nan;Intel;UHD Graphics;nan;60;512;8;DDR4;1;"алюминий; пластик";7;nan
SberMegaMarket;F+;для работы и учебы;41700;0;0;Windows;10;Intel;Core i5;1235U;nan;Intel;UHD Graphics;nan;60;512;8;DDR4;1;"алюминий; пластик";7;nan
SberMegaMarket;F+;для работы и учебы;51300;0;0;Windows;6;AMD;Ryzen 5;5600U;nan;AMD;Radeon Graphics;nan;60;512;16;DDR4;0;"алюминий; пластик";7;nan
SberMegaMarket;F+;для работы и учебы;46000;0;0;Windows;6;AMD;Ryzen 5;5600U;nan;AMD;Radeon Graphics;nan;60;256;8;DDR4;0;"алюминий; пластик";7;nan
SberMegaMarket;HP;для работы и учебы;71990;0;0;Без ОС;10;Intel;Core i5;1235U;nan;NVIDIA;GeForce MX570;nan;nan;512;8;DDR4;1;nan;8;nan
SberMegaMarket;Acer;для работы и учебы;41000;0;0;Без ОС;6;Intel;Core i3;1215U;0.9;Intel;UHD Graphics;nan;60;512;8;DDR4;1;пластик;6;nan
SberMegaMarket;Acer;для работы и учебы;50490;0;0;Без ОС;10;Intel;Core i5;1235U;0.9;Intel;Iris Xe Graphics;nan;60;256;8;DDR4;1;пластик;6;nan
SberMegaMarket;Acer;для работы и учебы;51000;0;0;Без ОС;10;Intel;Core i5;1235U;0.9;Intel;Iris Xe Graphics;nan;60;512;8;DDR4;1;пластик;6;nan
SberMegaMarket;Acer;для работы и учебы;69570;0;0;Без ОС;10;Intel;Core i7;1255U;nan;Intel;Iris Xe Graphics;nan;60;1024;16;DDR4;1;пластик;6;nan
SberMegaMarket;Acer;для работы и учебы;77460;0;0;Без ОС;10;Intel;Core i7;1255U;nan;NVIDIA;GeForce MX550;nan;60;1024;16;DDR4;1;пластик;6;nan
SberMegaMarket;HP;для работы и учебы;79448;0;0;Без ОС;6;AMD;Ryzen 5;5600H;nan;NVIDIA;GeForce RTX 3050 Ti;nan;nan;512;16;DDR4;1;"алюминий; пластик";5;nan
SberMegaMarket;HIPER;для работы и учебы;50888;0;0;Без ОС;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;nan;60;512;16;DDR4;1;"алюминий; пластик";9;nan
SberMegaMarket;HP;для работы и учебы;50770;0;0;Windows;2;Intel;Core i3;1115G4;3;Intel;UHD Graphics;nan;nan;256;8;DDR4;1;"алюминий; пластик";9;nan
SberMegaMarket;HP;для работы и учебы;57807;0;0;Без ОС;10;Intel;Core i7;1255U;nan;Intel;Iris Xe Graphics;nan;nan;512;8;DDR4;1;"алюминий; пластик";6;nan
SberMegaMarket;HP;для работы и учебы;48440;0;0;Без ОС;6;AMD;Ryzen 5;5625U;nan;AMD;Radeon Graphics;nan;nan;512;8;DDR4;1;"алюминий; пластик";7;nan
SberMegaMarket;Acer;для работы и учебы;50028;0;0;Windows;6;AMD;Ryzen 5;5500U;nan;AMD;Radeon Graphics;nan;nan;512;8;DDR4;0;"алюминий; пластик";10;nan
SberMegaMarket;Lenovo;"для бизнеса; для работы и учебы";85777;0;0;DOS;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;14;nan;512;8;DDR4;1;nan;6;nan
SberMegaMarket;HP;"для бизнеса; для работы и учебы; универсальный";65386;0;0;Windows;10;Intel;Core i5;1235U;nan;Intel;Iris Xe Graphics;nan;60;512;16;DDR4;1;nan;6;nan
SberMegaMarket;HIPER;универсальный;60990;0;0;DOS;4;Intel;Core i5;1135G7;nan;NVIDIA;GeForce MX450;nan;nan;512;16;DDR4;0;nan;8;nan
SberMegaMarket;HIPER;универсальный;61603;0;0;Windows;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;nan;nan;512;16;DDR4;0;nan;8;nan
SberMegaMarket;MSI;универсальный;67479;0;0;DOS;8;Intel;Core i5;12450H;nan;Intel;A370M;nan;144;512;8;DDR4;1;пластик;6;nan
SberMegaMarket;HIPER;универсальный;48490;0;0;DOS;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;nan;nan;256;8;DDR4;0;nan;8;nan
SberMegaMarket;HIPER;универсальный;58258;0;0;Windows;4;Intel;Core i5;1135G7;nan;Intel;Iris Xe Graphics;nan;nan;256;8;DDR4;0;nan;8;nan
SberMegaMarket;Lenovo;для работы и учебы;97770;0;0;Windows;6;AMD;Ryzen 5;5675U;nan;AMD;Radeon Graphics;nan;nan;512;16;DDR4;1;пластик;7;1
SberMegaMarket;Lenovo;для работы и учебы;105050;0;0;Windows;6;AMD;Ryzen 5;5675U;nan;AMD;Radeon Graphics;nan;nan;512;16;DDR4;1;пластик;7;nan
SberMegaMarket;MAIBENBEN;для работы и учебы;77110;0;0;Linux;8;Intel;Core i5;12450H;nan;NVIDIA;GeForce RTX 3050;nan;144;512;8;DDR4;1;пластик;4;2
SberMegaMarket;MAIBENBEN;универсальный;116600;0;0;Linux;8;AMD;Ryzen 7;5800H;nan;NVIDIA;GeForce RTX 3070;nan;165;1024;16;DDR4;1;"алюминий; пластик";4;nan
SberMegaMarket;Acer;игровой;85270;0;0;Без ОС;6;AMD;Ryzen 5;6600H;nan;NVIDIA;GeForce RTX 3050;nan;144;512;16;DDR4;1;пластик;8;nan
SberMegaMarket;ASUS;игровой;94990;0;0;Windows;8;AMD;Ryzen 7;6800H;nan;NVIDIA;GeForce RTX 3050 Ti;nan;nan;512;8;DDR5;0;nan;8;nan
SberMegaMarket;ASUS;игровой;106990;0;0;Без ОС;8;AMD;Ryzen 7;6800H;nan;NVIDIA;GeForce RTX 3050;nan;nan;512;16;DDR5;0;nan;8;nan
